alpha,delta
0.5,4.521047696488551
0.51,4.62411415539877
0.52,4.732680276730472
0.53,4.840597612988314
0.54,4.940454134002076
0.55,5.025754632961931
0.56,5.092877023853227
0.5700000000000001,5.141263578998429
0.5800000000000001,5.170682029442471
0.5900000000000001,5.17562551624577
0.6000000000000001,5.139847082391377
0.6100000000000001,5.038228297780098
0.6200000000000001,4.853285818393453
0.6300000000000001,4.599410784198535
0.6400000000000001,4.331127285003345
0.6500000000000001,4.1217861007242345
0.6600000000000001,4.026188974466934
0.6700000000000002,4.050998187585695
0.6800000000000002,4.150505738075495
0.6900000000000002,4.253062679131881
0.7000000000000002,4.294544940747253
0.7100000000000002,4.23649620419368
0.7200000000000002,4.0813998448992255
0.7300000000000002,3.8681817266047114
0.7400000000000002,3.6387888352931697
0.7500000000000002,3.425139863932037
0.7600000000000002,3.2407837412403944
0.7700000000000002,3.0697678335040797
0.7800000000000002,2.8898647750860618
0.7900000000000003,2.703527058827354
0.8000000000000003,2.5242892816382234
0.8100000000000003,2.340215937736884
0.8200000000000003,2.131365701670316
0.8300000000000003,1.8949019085551637
0.8400000000000003,1.6197939114496636
0.8500000000000003,1.2720493340399488
0.8600000000000003,0.8746560040288811
0.8700000000000003,0.594666213991339
0.8800000000000003,0.4737901813947323
0.8900000000000003,0.37749734974749993
0.9000000000000004,0.29963353725449515
0.9100000000000004,0.36754605023263776
0.9200000000000004,0.471002350437079
0.9300000000000004,0.5432191665515547
0.9400000000000004,0.5654219701226691
0.9500000000000004,0.5564126524063426
0.9600000000000004,0.5468281047959265
0.9700000000000004,0.5463023117584103
0.9800000000000004,0.5509207331231645
0.9900000000000004,0.5558129183774181
