alpha,delta
0.5,5.770982316637129
0.51,5.761138238962138
0.52,5.710346272512271
0.53,5.609139782920649
0.54,5.453066123907654
0.55,5.2458963119002355
0.56,5.001877157262756
0.5700000000000001,4.745194123483865
0.5800000000000001,4.504609929437134
0.5900000000000001,4.30329599318953
0.6000000000000001,4.148652374700149
0.6100000000000001,4.030277599524188
0.6200000000000001,3.929544057955736
0.6300000000000001,3.833936831410199
0.6400000000000001,3.7449946806720096
0.6500000000000001,3.6741776195711138
0.6600000000000001,3.6316707135715505
0.6700000000000002,3.6200651481048562
0.6800000000000002,3.63419483175556
0.6900000000000002,3.659055536522815
0.7000000000000002,3.677017418611215
0.7100000000000002,3.682332540307857
0.7200000000000002,3.698930281859454
0.7300000000000002,3.8091172637006347
0.7400000000000002,4.0848550531212835
0.7500000000000002,4.432586561915519
0.7600000000000002,4.667573638256267
0.7700000000000002,4.717012106530842
0.7800000000000002,4.6294374439099615
0.7900000000000003,4.520241548025002
0.8000000000000003,4.527757920299675
0.8100000000000003,4.7378122504527465
0.8200000000000003,5.005084306411702
0.8300000000000003,5.0058708958134135
0.8400000000000003,4.646014670644028
0.8500000000000003,4.167599662356458
0.8600000000000003,3.8444250718294293
0.8700000000000003,3.622359407540824
0.8800000000000003,3.2592066144224594
0.8900000000000003,2.9485212724416034
0.9000000000000004,2.820790655623629
0.9100000000000004,2.8407221363014656
0.9200000000000004,2.879405403525698
0.9300000000000004,2.8815429777505477
0.9400000000000004,2.8660433104548395
0.9500000000000004,2.85757082673594
0.9600000000000004,2.8539364074960907
0.9700000000000004,2.8558832583401137
0.9800000000000004,2.8601452805939154
0.9900000000000004,2.865181426131562
