alpha,delta
0.5,2.2330262846798252
0.51,2.255659324321623
0.52,2.3320677429939556
0.53,2.4411929237096004
0.54,2.559340261001598
0.55,2.665479195385379
0.56,2.746421027968837
0.5700000000000001,2.795696810081482
0.5800000000000001,2.808424263237893
0.5900000000000001,2.7783696820038424
0.6000000000000001,2.7000219769528226
0.6100000000000001,2.572743167109366
0.6200000000000001,2.4064663117065495
0.6300000000000001,2.2309874288555527
0.6400000000000001,2.0932599207982103
0.6500000000000001,2.0323396272225427
0.6600000000000001,2.0565002952211655
0.6700000000000002,2.1287288429650504
0.6800000000000002,2.1811109482427873
0.6900000000000002,2.167005803767702
0.7000000000000002,2.081555827889965
0.7100000000000002,1.956608230316693
0.7200000000000002,1.857563452091427
0.7300000000000002,1.8301535205346664
0.7400000000000002,1.8341548301391182
0.7500000000000002,1.7988574791884064
0.7600000000000002,1.7071709515950366
0.7700000000000002,1.6030031025695395
0.7800000000000002,1.5277012531516578
0.7900000000000003,1.4906978084110392
0.8000000000000003,1.471798867364015
0.8100000000000003,1.4233014395330688
0.8200000000000003,1.320194415147373
0.8300000000000003,1.1629278627193036
0.8400000000000003,0.9278853423024847
0.8500000000000003,0.7351849988996687
0.8600000000000003,0.7749814886776857
0.8700000000000003,0.812678526064457
0.8800000000000003,0.6964280675507439
0.8900000000000003,0.49758733968432295
0.9000000000000004,0.4031766082544589
0.9100000000000004,0.4324150479742346
0.9200000000000004,0.47175293075095787
0.9300000000000004,0.48991358556143605
0.9400000000000004,0.49900845152355133
0.9500000000000004,0.5082844215605301
0.9600000000000004,0.5153918429295954
0.9700000000000004,0.5119990001881461
0.9800000000000004,0.5047734493499996
0.9900000000000004,0.49749371405403076
