P,RMSE
1,0.7721581040493616
2,-0.7027129479444424
3,-1.0154971580787857
4,-0.44184403869676403
5,-0.2041511612909228
6,-0.1159923894197303
7,-0.09324781229640983
8,-0.32252579820837857
9,0.13316177191527892
10,0.42575360622249
