alpha,delta
0.5,1.231510034935944
0.51,1.2019858639997434
0.52,1.1870576012517833
0.53,1.1777427259662139
0.54,1.1560016476336987
0.55,1.1073971483816696
0.56,1.0310325408981327
0.5700000000000001,0.9385928166143078
0.5800000000000001,0.8503535389460781
0.5900000000000001,0.7927221623870739
0.6000000000000001,0.7830090317772406
0.6100000000000001,0.8034879159913911
0.6200000000000001,0.8108911118340604
0.6300000000000001,0.7775687052212471
0.6400000000000001,0.7121968896551563
0.6500000000000001,0.6446289443906691
0.6600000000000001,0.5928439264082298
0.6700000000000002,0.5471367705330823
0.6800000000000002,0.4858988119422844
0.6900000000000002,0.3996611465583111
0.7000000000000002,0.29674140241120645
0.7100000000000002,0.19725854554811423
0.7200000000000002,0.12391616914765025
0.7300000000000002,0.0817616824331781
0.7400000000000002,0.060976896149204804
0.7500000000000002,0.0545303159662493
0.7600000000000002,0.05311255499345009
0.7700000000000002,0.04754126344311256
0.7800000000000002,0.034982232008722185
0.7900000000000003,0.023499235538899578
0.8000000000000003,0.039080403608437925
0.8100000000000003,0.06936294486827689
0.8200000000000003,0.08855226455586854
0.8300000000000003,0.08306128569230298
0.8400000000000003,0.056441443647479175
0.8500000000000003,0.0314504299441822
0.8600000000000003,0.02093305776905072
0.8700000000000003,0.015307337183713085
0.8800000000000003,0.006058362945121905
0.8900000000000003,0.002609873801544719
0.9000000000000004,0.0015641542488842805
0.9100000000000004,0.0024127410081372716
0.9200000000000004,0.0032054287188439234
0.9300000000000004,0.00408599509229114
0.9400000000000004,0.004621605323637425
0.9500000000000004,0.004584642341353464
0.9600000000000004,0.004829667675019677
0.9700000000000004,0.005966505771448414
0.9800000000000004,0.0077654102359011445
0.9900000000000004,0.00951417093601749
