alpha,delta
0.5,0.12764316932067254
0.51,0.12614746457240464
0.52,0.12482348221302061
0.53,0.12366673546313495
0.54,0.12258943721873199
0.55,0.12146729402361969
0.56,0.12020100208687746
0.5700000000000001,0.11873226101082103
0.5800000000000001,0.11702626604050999
0.5900000000000001,0.11506301436045255
0.6000000000000001,0.11284753300170831
0.6100000000000001,0.11040833315472295
0.6200000000000001,0.10778030479184249
0.6300000000000001,0.10498554118461845
0.6400000000000001,0.10201077149657278
0.6500000000000001,0.09881867836512918
0.6600000000000001,0.09538960094275577
0.6700000000000002,0.09171956187088229
0.6800000000000002,0.08778113191868482
0.6900000000000002,0.08352630699854187
0.7000000000000002,0.07902886044304885
0.7100000000000002,0.07453109292770349
0.7200000000000002,0.07021294250443331
0.7300000000000002,0.0661758364620316
0.7400000000000002,0.06269547981288372
0.7500000000000002,0.06017174666837934
0.7600000000000002,0.05865292111692394
0.7700000000000002,0.05764891334850931
0.7800000000000002,0.056288208148530354
0.7900000000000003,0.05286447709953188
0.8000000000000003,0.04587101855034422
0.8100000000000003,0.03942402313401082
0.8200000000000003,0.04201070275712056
0.8300000000000003,0.051007716569559346
0.8400000000000003,0.0648037409683389
0.8500000000000003,0.07689967801148193
0.8600000000000003,0.06922754227896347
0.8700000000000003,0.04467137848358713
0.8800000000000003,0.028146776198331166
0.8900000000000003,0.02417560854048938
0.9000000000000004,0.02599474815944885
0.9100000000000004,0.028743116171234886
0.9200000000000004,0.02904408039819459
0.9300000000000004,0.02730756171487638
0.9400000000000004,0.02745525434175188
0.9500000000000004,0.030707099220068316
0.9600000000000004,0.03570203293502328
0.9700000000000004,0.040881327329021305
0.9800000000000004,0.045681399613188275
0.9900000000000004,0.04746092639585739
